genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status,horario_local,fuso_horario,horario_brasilia,link
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,França,Holanda,-,,,,,,Próximo Jogo,13:00,CEST (UTC+2),08:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,Rep. Tcheca,Alemanha,-,,,,,,Próximo Jogo,16:30,CEST (UTC+2),11:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,08/07/2026,Sérvia,Bulgária,-,,,,,,Próximo Jogo,20:00,CEST (UTC+2),15:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,09/07/2026,Rep. Tcheca,Holanda,-,,,,,,Próximo Jogo,16:30,CEST (UTC+2),11:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,09/07/2026,Sérvia,França,-,,,,,,Próximo Jogo,20:00,CEST (UTC+2),15:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,10/07/2026,Bulgária,Rep. Tcheca,-,,,,,,Próximo Jogo,16:30,CEST (UTC+2),11:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,10/07/2026,Alemanha,Holanda,-,,,,,,Próximo Jogo,20:00,CEST (UTC+2),15:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,11/07/2026,Bulgária,França,-,,,,,,Próximo Jogo,16:30,CEST (UTC+2),11:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,11/07/2026,Sérvia,Alemanha,-,,,,,,Próximo Jogo,20:00,CEST (UTC+2),15:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,França,Rep. Tcheca,-,,,,,,Próximo Jogo,13:00,CEST (UTC+2),08:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,Bulgária,Alemanha,-,,,,,,Próximo Jogo,16:30,CEST (UTC+2),11:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 7 - Belgrado (SRB),Belgrado - Belgrade Arena,12/07/2026,Sérvia,Holanda,-,,,,,,Próximo Jogo,20:00,CEST (UTC+2),15:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,08/07/2026,Bélgica,Rep. Dominicana,-,,,,,,Próximo Jogo,11:30,HKT (UTC+8),00:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
Feminino,Semana 3,Fase Preliminar,Pool 8 - Hong Kong (CHN),Hong Kong - Kai Tak Arena,08/07/2026,Ucrânia,Itália,-,,,,,,Próximo Jogo,17:00,HKT (UTC+8),06:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/schedule/
